"ComparisonGuid","ObjectType","SchemaName","ObjectName","ParentObjectName","DifferenceType","SourceHash","TargetHash","SourceFile","PrepareFile","PreflightFile","SupportFiles","DeploymentMode","IsSupported","WasMaterialized","MaterializedDefinitionSha256","MaterializedFiles","ConstraintKind","Reason"
"6b2279a4-0d03-4152-ad94-12610b52d3e4","Table","SCore","EntityTypes","","Different","260F89AE455E45B8ABA36B859D7B7EC2A5DC343687DA6D02AE19A01C7B042D55","DE525DAD3B5E8E77D22C774A0E413A8B841F036FCE03204DBF32911A6E34B770","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SCore.EntityTypes.alter.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SCore.EntityTypes.preflight.sql","System.Object[]","DeclarativeTableAlter","True","True","A30C3843C5C9C1993D24026BD47DB98F33399133B682C3C3C1650EB16000197C","System.String[]","","Table convergence SQL was materialized from the accepted declarative snapshots."
"653b74e9-351b-4da4-ba8a-70d41ba95ed9","Table","SJob","PurchaseOrders","","Different","9C173B27AD8FC5B6C3309E8DD3EF44C089A364251AAFB18C9658327279F9A261","21D85DE8041879BB84EC15F3AE106791CDF18A165BE7F716084DC9F74A5079DD","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SJob.PurchaseOrders.alter.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SJob.PurchaseOrders.preflight.sql","System.Object[]","DeclarativeTableAlter","True","True","F2005AE0CA23BEA4F07EF02026FBCC127B28C163AACDECEE268F14BCAB3E2760","System.String[]","","Table convergence SQL was materialized from the accepted declarative snapshots."
"39a76c1d-d50c-4a1d-8ccd-33ac519df3dd","Table","SJob","SubContractorInvoices","","Different","79F9CE698FEF92082FA320376C3604CCC9B208D569612A456FA400F4527812AC","8645CF5CC7E6623582DD4AF41A56D3AB798F83562CB3CB40F5047A191823C4C7","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SJob.SubContractorInvoices.alter.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SJob.SubContractorInvoices.preflight.sql","System.Object[]","DeclarativeTableAlter","True","True","8C9C90CDEDB4E24F91A814979BFAC7C3683973884E818AD4FF3AD72C146601B6","System.String[]","","Table convergence SQL was materialized from the accepted declarative snapshots."
"7b4c792f-fe21-4f9e-89a1-4756f8ae323b","Table","SMigration","Onboarding_OrganisationalUnits","","Different","CE484D255364273629C7A3D46D282588D61422A96F75800D65F071C2F954FFBE","DE889B72769CA12F0C723D20C7E22F7C32A37F73632FDCDD5D8638C80C8A358C","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SMigration.Onboarding_OrganisationalUnits.alter.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SMigration.Onboarding_OrganisationalUnits.preflight.sql","System.Object[]","DeclarativeTableAlter","True","True","CB5CF370638FD3D48C28DE53EEE45596B170CB067EF8E52DA4BD83601CA0731B","System.String[]","","Table convergence SQL was materialized from the accepted declarative snapshots."
"77b9823d-3302-4756-9166-387626b74bf4","Table","SMigration","Onboarding_Run","","Different","ADA36F76EB21CBAF5184817D811E407BED7BEE8DA0513DA6DDCDCE2D0E863088","700B577E569A00EF0039291A3D7B38BCDE9D780EA6122EF60A9FD6C44A0647DC","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SMigration.Onboarding_Run.alter.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SMigration.Onboarding_Run.preflight.sql","System.Object[]","DeclarativeTableAlter","True","True","3AC92DBD21B9396922F391A49D84C23626616C1F41305792AF96F930380D6B6A","System.String[]","","Table convergence SQL was materialized from the accepted declarative snapshots."
"6c5a4080-4dd8-4657-ab55-78c1c89ace56","Constraint","SCore","DF__tvf_DataO__IsHid__25767D7C","tvf_DataObjectTransitionValidate","MissingInTarget","4C56535AC1DA0D677F77958CF60EA6DCEA4AB40DC473DA768AF95412767B9683","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsHid__25767D7C.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsHid__25767D7C.preflight.sql","System.Object[]","ConstraintCreate","True","True","A8E3545B05890BC0060027C5A60F46F6EF6CD1AFFC6F6547D6CC7D5AF867B161","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"792bc6e9-4989-42fc-b78d-818f4d8e87ed","Constraint","SCore","DF__tvf_DataO__IsInf__275EC5EE","tvf_DataObjectTransitionValidate","MissingInTarget","5CDDE45AB400547D17C1F511018C11F189CBCD8DED9C3CA918E4D96BBE1C14C9","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsInf__275EC5EE.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsInf__275EC5EE.preflight.sql","System.Object[]","ConstraintCreate","True","True","DF261A1223EF9F09F76C7C41470BC5386F345801379AA9711813A997C7B9935C","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"4ed9a009-c3d0-487f-b4f9-6c88ad49d7e5","Constraint","SCore","DF__tvf_DataO__IsInv__266AA1B5","tvf_DataObjectTransitionValidate","MissingInTarget","47FFCB032EC9ABF53490116879B46A434AAB37E57A8BF0C7DDB54C1C9DD0DBC2","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsInv__266AA1B5.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsInv__266AA1B5.preflight.sql","System.Object[]","ConstraintCreate","True","True","7EA15F0FB6F5909E0B1626355BABCEC26C1A846CB48AC9D086463E0FD3AEA5A4","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"895bc721-7581-4c20-8308-37abc61b6d0b","Constraint","SCore","DF__tvf_DataO__IsRea__24825943","tvf_DataObjectTransitionValidate","MissingInTarget","913A4FFEC21A8C990E21FCA37CF72D5DDBA81B2AE629852DC83F441956B45D5A","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsRea__24825943.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsRea__24825943.preflight.sql","System.Object[]","ConstraintCreate","True","True","33ACABD98491DC316BC9F0A7B14B310B3E725C7867DCC6A05C7329AC0ACD0614","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
"65cff6ea-d483-4930-95eb-05f2cf44874c","Constraint","SCore","DF__tvf_DataO__Messa__2852EA27","tvf_DataObjectTransitionValidate","MissingInTarget","AE23361C700959395C0E8EAB5A839ABD85DF04F2246652F12AFC7A455D1AFFD5","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__Messa__2852EA27.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__Messa__2852EA27.preflight.sql","System.Object[]","ConstraintCreate","True","True","78AE966C56D426F14E1F10959ECD319E7762C374EA902B8FA29FED6C70EEEC6F","System.String[]","DEFAULT","Constraint prepare/preflight/apply SQL was materialized from the accepted declarative snapshot."
