"ComparisonGuid","ObjectType","SchemaName","ObjectName","ParentObjectName","DifferenceType","IsDeployable","IsDestructiveRisk","IsSelected","HasExplicitSelection"
"6b2279a4-0d03-4152-ad94-12610b52d3e4","Table","SCore","EntityTypes","","Different","True","True","True","True"
"b3c327b1-b242-42d6-85f7-29fab376757b","Table","SCore","ObjectSecurity","","Different","True","True","True","True"
"653b74e9-351b-4da4-ba8a-70d41ba95ed9","Table","SJob","PurchaseOrders","","Different","True","True","True","True"
"39a76c1d-d50c-4a1d-8ccd-33ac519df3dd","Table","SJob","SubContractorInvoices","","Different","True","True","True","True"
"e273a70c-34ad-4003-89ec-b498db3b530f","Table","SMigration","Onboarding_EntityScope","","MissingInTarget","True","False","True","True"
"7b4c792f-fe21-4f9e-89a1-4756f8ae323b","Table","SMigration","Onboarding_OrganisationalUnits","","Different","True","True","True","True"
"77b9823d-3302-4756-9166-387626b74bf4","Table","SMigration","Onboarding_Run","","Different","True","True","True","True"
"21e3df85-d730-4d5b-9b6c-dbda63d53d2f","Table","SMigration","Onboarding_RunEntitySelections","","MissingInTarget","True","False","True","True"
"3718e36e-23f2-4ef5-88de-30fbe31e9b3a","Table","SMigration","Onboarding_RunStageSelections","","MissingInTarget","True","False","True","True"
"5708e557-7c81-484c-85d4-a789bd802e4a","Table","SMigration","Onboarding_WorkflowStatuses","","MissingInTarget","True","False","True","True"
"a5ad02db-de22-4462-b264-f4ddea544c4a","Table","SSop","CriticalProjectNotes","","MissingInTarget","True","False","True","True"
"6c5a4080-4dd8-4657-ab55-78c1c89ace56","Constraint","SCore","DF__tvf_DataO__IsHid__25767D7C","tvf_DataObjectTransitionValidate","MissingInTarget","True","False","True","True"
"792bc6e9-4989-42fc-b78d-818f4d8e87ed","Constraint","SCore","DF__tvf_DataO__IsInf__275EC5EE","tvf_DataObjectTransitionValidate","MissingInTarget","True","False","True","True"
"4ed9a009-c3d0-487f-b4f9-6c88ad49d7e5","Constraint","SCore","DF__tvf_DataO__IsInv__266AA1B5","tvf_DataObjectTransitionValidate","MissingInTarget","True","False","True","True"
"895bc721-7581-4c20-8308-37abc61b6d0b","Constraint","SCore","DF__tvf_DataO__IsRea__24825943","tvf_DataObjectTransitionValidate","MissingInTarget","True","False","True","True"
"65cff6ea-d483-4930-95eb-05f2cf44874c","Constraint","SCore","DF__tvf_DataO__Messa__2852EA27","tvf_DataObjectTransitionValidate","MissingInTarget","True","False","True","True"
"66547994-5661-4ba3-878f-98f01231064e","Constraint","SCore","DF__tvf_DataO__Targe__229A10D1","tvf_DataObjectTransitionValidate","MissingInTarget","True","False","True","True"
"653327d2-be82-46a4-ad44-c0b17260cbe8","Constraint","SCore","DF__tvf_DataO__Targe__238E350A","tvf_DataObjectTransitionValidate","MissingInTarget","True","False","True","True"
"201071e9-fb41-4fec-b39e-dd2af7fb1f13","Constraint","SCore","DF__tvf_Workf__IsHid__00A4EB80","tvf_WorkflowTransitionValidate","MissingInTarget","True","False","True","True"
"e37df8ec-9be9-4c71-be44-851f15fc4b01","Constraint","SCore","DF__tvf_Workf__IsHid__0751E90F","tvf_WorkflowValidate","MissingInTarget","True","False","True","True"
"81fb7dd9-eba8-47f6-a0bc-3d7805d1fbc6","Constraint","SCore","DF__tvf_Workf__IsHid__79F7EDF1","tvf_WorkflowStatusValidate","MissingInTarget","True","False","True","True"
"a116c04c-2ea4-4a75-92cb-4a4ba86ff3d4","Constraint","SCore","DF__tvf_Workf__IsInf__028D33F2","tvf_WorkflowTransitionValidate","MissingInTarget","True","False","True","True"
"e0a06af5-3da0-40de-ae41-70086f8b5a46","Constraint","SCore","DF__tvf_Workf__IsInf__093A3181","tvf_WorkflowValidate","MissingInTarget","True","False","True","True"
"a3afc765-20bb-43e1-8dce-1db725ce51f2","Constraint","SCore","DF__tvf_Workf__IsInf__7BE03663","tvf_WorkflowStatusValidate","MissingInTarget","True","False","True","True"
"b86c0a07-4575-4332-bdff-21717b54c07e","Constraint","SCore","DF__tvf_Workf__IsInv__01990FB9","tvf_WorkflowTransitionValidate","MissingInTarget","True","False","True","True"
"b6c25924-42c4-4e86-b9bd-56fc067e3998","Constraint","SCore","DF__tvf_Workf__IsInv__08460D48","tvf_WorkflowValidate","MissingInTarget","True","False","True","True"
"df0970f0-c756-4599-942a-80ca376444e2","Constraint","SCore","DF__tvf_Workf__IsInv__7AEC122A","tvf_WorkflowStatusValidate","MissingInTarget","True","False","True","True"
"1eb09d58-ed21-4baa-8a66-067f11533408","Constraint","SCore","DF__tvf_Workf__IsRea__065DC4D6","tvf_WorkflowValidate","MissingInTarget","True","False","True","True"
"14c0910e-36f9-4158-bcc6-8db211597c77","Constraint","SCore","DF__tvf_Workf__IsRea__7903C9B8","tvf_WorkflowStatusValidate","MissingInTarget","True","False","True","True"
"da9f0606-070f-46b5-815f-2a859d7fca49","Constraint","SCore","DF__tvf_Workf__IsRea__7FB0C747","tvf_WorkflowTransitionValidate","MissingInTarget","True","False","True","True"
"2b875235-5549-4086-a900-2bcef9f91e18","Constraint","SCore","DF__tvf_Workf__Messa__0381582B","tvf_WorkflowTransitionValidate","MissingInTarget","True","False","True","True"
"cd7dd01f-5c84-4d3e-bcc2-4af048f5bb2d","Constraint","SCore","DF__tvf_Workf__Messa__0A2E55BA","tvf_WorkflowValidate","MissingInTarget","True","False","True","True"
"964ddaed-eaed-4b9f-bbc8-cb1cdebd1824","Constraint","SCore","DF__tvf_Workf__Messa__7CD45A9C","tvf_WorkflowStatusValidate","MissingInTarget","True","False","True","True"
"35633d8b-85b3-4acc-bd85-bda3925f76a1","Constraint","SCore","DF__tvf_Workf__Targe__04757C64","tvf_WorkflowValidate","MissingInTarget","True","False","True","True"
"a83d38f6-bfd7-4c26-ad07-97839fccf836","Constraint","SCore","DF__tvf_Workf__Targe__0569A09D","tvf_WorkflowValidate","MissingInTarget","True","False","True","True"
"b6e4999e-bd5e-4e39-b1d6-3ee64586fa14","Constraint","SCore","DF__tvf_Workf__Targe__771B8146","tvf_WorkflowStatusValidate","MissingInTarget","True","False","True","True"
"10943a6b-7d86-4cab-9e4f-df70d8731b61","Constraint","SCore","DF__tvf_Workf__Targe__780FA57F","tvf_WorkflowStatusValidate","MissingInTarget","True","False","True","True"
"1423cba9-3ca9-4f6c-8ff0-1e3599ce38cf","Constraint","SCore","DF__tvf_Workf__Targe__7DC87ED5","tvf_WorkflowTransitionValidate","MissingInTarget","True","False","True","True"
"747e3535-d2a3-4edf-aaff-c0bb5bedd271","Constraint","SCore","DF__tvf_Workf__Targe__7EBCA30E","tvf_WorkflowTransitionValidate","MissingInTarget","True","False","True","True"
"66e9443c-e376-42fa-9cfc-f78ab79eeff0","Constraint","SCore","DF_EntityTypes_IsOnBoarding","EntityTypes","MissingInTarget","True","False","True","True"
"3e401705-7cd5-4a65-ac3a-3a77a9f2d715","Constraint","SFin","DF__Transacti__IsHid__37F5206A","TransactionsValidate","MissingInTarget","True","False","True","True"
"1a78ab67-7308-4496-a822-4ec66453fe72","Constraint","SFin","DF__Transacti__IsHid__46433FC1","TransactionDetailsValidate","MissingInTarget","True","False","True","True"
"9fe04893-c8f3-4f1e-b403-0b26c3df98dc","Constraint","SFin","DF__Transacti__IsInf__39DD68DC","TransactionsValidate","MissingInTarget","True","False","True","True"
"5d9783e9-d811-4f01-bb68-ffcf7b35f57a","Constraint","SFin","DF__Transacti__IsInf__482B8833","TransactionDetailsValidate","MissingInTarget","True","False","True","True"
"36e622d6-2342-4620-ba93-87528fb86f78","Constraint","SFin","DF__Transacti__IsInv__38E944A3","TransactionsValidate","MissingInTarget","True","False","True","True"
"7a2315d9-f988-4d18-9360-220acb87db15","Constraint","SFin","DF__Transacti__IsInv__473763FA","TransactionDetailsValidate","MissingInTarget","True","False","True","True"
"b593c5ea-7fde-48e0-bbe6-474855837f88","Constraint","SFin","DF__Transacti__IsRea__3700FC31","TransactionsValidate","MissingInTarget","True","False","True","True"
"0d1a1b37-6d06-4326-89ba-ccf7d4c96d36","Constraint","SFin","DF__Transacti__IsRea__454F1B88","TransactionDetailsValidate","MissingInTarget","True","False","True","True"
"3ca63366-04a2-4e85-8d0f-5ebd57d5d63f","Constraint","SFin","DF__Transacti__Messa__3AD18D15","TransactionsValidate","MissingInTarget","True","False","True","True"
"c46f80a2-e34d-4ac8-a846-2fae1046be2a","Constraint","SFin","DF__Transacti__Messa__491FAC6C","TransactionDetailsValidate","MissingInTarget","True","False","True","True"
"c364e49c-a825-4a7e-93e8-1cb148238796","Constraint","SFin","DF__Transacti__Targe__3518B3BF","TransactionsValidate","MissingInTarget","True","False","True","True"
"cd91a841-b346-41e2-8181-67704148ea98","Constraint","SFin","DF__Transacti__Targe__360CD7F8","TransactionsValidate","MissingInTarget","True","False","True","True"
"c23f325f-c279-492e-b32b-fd59356594b8","Constraint","SFin","DF__Transacti__Targe__4366D316","TransactionDetailsValidate","MissingInTarget","True","False","True","True"
"abd5ccd9-6a3e-4a9a-b22c-e37a33d9b13f","Constraint","SFin","DF__Transacti__Targe__445AF74F","TransactionDetailsValidate","MissingInTarget","True","False","True","True"
"d562abe1-8a23-4eb8-9c15-c18b93fdf6a5","Constraint","SFin","DF__tvf_Invoi__IsHid__031743D7","tvf_InvoiceScheduleMonthConfigurationValidate","MissingInTarget","True","False","True","True"
"02128408-e7d3-4bf4-89a0-72e07eb51124","Constraint","SFin","DF__tvf_Invoi__IsInf__04FF8C49","tvf_InvoiceScheduleMonthConfigurationValidate","MissingInTarget","True","False","True","True"
"cc27dce3-70e5-4635-97e1-32519119444a","Constraint","SFin","DF__tvf_Invoi__IsInv__040B6810","tvf_InvoiceScheduleMonthConfigurationValidate","MissingInTarget","True","False","True","True"
