"ComparisonGuid","ObjectType","SchemaName","ObjectName","ParentObjectName","DifferenceType","SourceHash","TargetHash","SourceFile","PrepareFile","PreflightFile","SupportFiles","DeploymentMode","IsSupported","WasMaterialized","MaterializedDefinitionSha256","MaterializedFiles","ConstraintKind","Reason"
"6b2279a4-0d03-4152-ad94-12610b52d3e4","Table","SCore","EntityTypes","","Different","260F89AE455E45B8ABA36B859D7B7EC2A5DC343687DA6D02AE19A01C7B042D55","DE525DAD3B5E8E77D22C774A0E413A8B841F036FCE03204DBF32911A6E34B770","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SCore.EntityTypes.alter.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SCore.EntityTypes.preflight.sql","System.Object[]","DeclarativeTableAlter","True","False","A30C3843C5C9C1993D24026BD47DB98F33399133B682C3C3C1650EB16000197C","System.String[]","","Source-controlled table convergence SQL files were resolved."
"b3c327b1-b242-42d6-85f7-29fab376757b","Table","SCore","ObjectSecurity","","Different","F8196E022BF3112E9064A03D5C684F01104A9D1DCCEFC66C00E88FFC96218465","CB87A3A249D92B3E7D847A0FBFC2DA254E91BB13B6EE3D0A4000E869D84FDE29","","","","System.Object[]","","False","False","","System.Object[]","","A dedicated migration exists for Table 'SCore.ObjectSecurity', but its approved source hash does not match the current comparison. Re-stage and review the source-controlled migration."
"653b74e9-351b-4da4-ba8a-70d41ba95ed9","Table","SJob","PurchaseOrders","","Different","9C173B27AD8FC5B6C3309E8DD3EF44C089A364251AAFB18C9658327279F9A261","21D85DE8041879BB84EC15F3AE106791CDF18A165BE7F716084DC9F74A5079DD","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SJob.PurchaseOrders.alter.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SJob.PurchaseOrders.preflight.sql","System.Object[]","DeclarativeTableAlter","True","False","F2005AE0CA23BEA4F07EF02026FBCC127B28C163AACDECEE268F14BCAB3E2760","System.String[]","","Source-controlled table convergence SQL files were resolved."
"39a76c1d-d50c-4a1d-8ccd-33ac519df3dd","Table","SJob","SubContractorInvoices","","Different","79F9CE698FEF92082FA320376C3604CCC9B208D569612A456FA400F4527812AC","8645CF5CC7E6623582DD4AF41A56D3AB798F83562CB3CB40F5047A191823C4C7","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SJob.SubContractorInvoices.alter.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SJob.SubContractorInvoices.preflight.sql","System.Object[]","DeclarativeTableAlter","True","False","8C9C90CDEDB4E24F91A814979BFAC7C3683973884E818AD4FF3AD72C146601B6","System.String[]","","Source-controlled table convergence SQL files were resolved."
"e273a70c-34ad-4003-89ec-b498db3b530f","Table","SMigration","Onboarding_EntityScope","","MissingInTarget","957BB7C308195DAFAB8B61D19D5D5AF7EA1F64238AC0F62A2FB1B46B7282031C","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Tables\SMigration.Onboarding_EntityScope.sql","","","System.Object[]","CanonicalCreate","True","False","","System.Object[]","","Source-controlled SQL file resolved."
"7b4c792f-fe21-4f9e-89a1-4756f8ae323b","Table","SMigration","Onboarding_OrganisationalUnits","","Different","CE484D255364273629C7A3D46D282588D61422A96F75800D65F071C2F954FFBE","DE889B72769CA12F0C723D20C7E22F7C32A37F73632FDCDD5D8638C80C8A358C","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SMigration.Onboarding_OrganisationalUnits.alter.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SMigration.Onboarding_OrganisationalUnits.preflight.sql","System.Object[]","DeclarativeTableAlter","True","False","CB5CF370638FD3D48C28DE53EEE45596B170CB067EF8E52DA4BD83601CA0731B","System.String[]","","Source-controlled table convergence SQL files were resolved."
"77b9823d-3302-4756-9166-387626b74bf4","Table","SMigration","Onboarding_Run","","Different","ADA36F76EB21CBAF5184817D811E407BED7BEE8DA0513DA6DDCDCE2D0E863088","700B577E569A00EF0039291A3D7B38BCDE9D780EA6122EF60A9FD6C44A0647DC","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SMigration.Onboarding_Run.alter.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Migrations\Generated\Tables\SMigration.Onboarding_Run.preflight.sql","System.Object[]","DeclarativeTableAlter","True","False","3AC92DBD21B9396922F391A49D84C23626616C1F41305792AF96F930380D6B6A","System.String[]","","Source-controlled table convergence SQL files were resolved."
"21e3df85-d730-4d5b-9b6c-dbda63d53d2f","Table","SMigration","Onboarding_RunEntitySelections","","MissingInTarget","D311CFA2B32CB095275625F8C762C17FA9A125F4A2BCAFBAAFC4F0464B655689","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Tables\SMigration.Onboarding_RunEntitySelections.sql","","","System.Object[]","CanonicalCreate","True","False","","System.Object[]","","Source-controlled SQL file resolved."
"3718e36e-23f2-4ef5-88de-30fbe31e9b3a","Table","SMigration","Onboarding_RunStageSelections","","MissingInTarget","D0067FACC6CF434BD72B672D6E99B6D4EC6BD65AF0705960B8C54630D03A5F2F","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Tables\SMigration.Onboarding_RunStageSelections.sql","","","System.Object[]","CanonicalCreate","True","False","","System.Object[]","","Source-controlled SQL file resolved."
"5708e557-7c81-484c-85d4-a789bd802e4a","Table","SMigration","Onboarding_WorkflowStatuses","","MissingInTarget","D4EC9DFB72C9B0180458BC6D3AC3A5AF0FB7D9B55AB92F972C774171FA247922","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Tables\SMigration.Onboarding_WorkflowStatuses.sql","","","System.Object[]","CanonicalCreate","True","False","","System.Object[]","","Source-controlled SQL file resolved."
"a5ad02db-de22-4462-b264-f4ddea544c4a","Table","SSop","CriticalProjectNotes","","MissingInTarget","E4B2D5003490FDBC5FA106B10DECF08E30B910F43800A38EAB41787BE15CD4A8","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Tables\SSop.CriticalProjectNotes.sql","","","System.Object[]","CanonicalCreate","True","False","","System.Object[]","","Source-controlled SQL file resolved."
"6c5a4080-4dd8-4657-ab55-78c1c89ace56","Constraint","SCore","DF__tvf_DataO__IsHid__25767D7C","tvf_DataObjectTransitionValidate","MissingInTarget","4C56535AC1DA0D677F77958CF60EA6DCEA4AB40DC473DA768AF95412767B9683","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsHid__25767D7C.sql","","C:\Users\stephen.brett\source\CymBuild.Monorepo\Database\CymBuild_DB\Schema\Constraints\SCore.tvf_DataObjectTransitionValidate.DF__tvf_DataO__IsHid__25767D7C.preflight.sql","System.Object[]","ConstraintCreate","True","False","A8E3545B05890BC0060027C5A60F46F6EF6CD1AFFC6F6547D6CC7D5AF867B161","System.String[]","DEFAULT","Source-controlled constraint SQL files were resolved."
