"ComparisonGuid","ObjectType","SchemaName","ObjectName","ParentObjectName","DifferenceType","SourceHash","TargetHash","SourceFile","PrepareFile","PreflightFile","SupportFiles","DeploymentMode","IsSupported","WasMaterialized","MaterializedDefinitionSha256","MaterializedFiles","ConstraintKind","Reason"
"b3c327b1-b242-42d6-85f7-29fab376757b","Table","SCore","ObjectSecurity","","Different","F8196E022BF3112E9064A03D5C684F01104A9D1DCCEFC66C00E88FFC96218465","CB87A3A249D92B3E7D847A0FBFC2DA254E91BB13B6EE3D0A4000E869D84FDE29","","","","System.Object[]","","False","False","","System.Object[]","","A dedicated migration exists for Table 'SCore.ObjectSecurity', but its approved source hash does not match the current comparison. Re-stage and review the source-controlled migration."
"2016b87e-ea18-4e8a-8583-f0372a002447","Constraint","SJob","FK_PurchaseOrders_InvoiceRequestId","PurchaseOrders","MissingInTarget","0B81D03C303A1284F86F97B38B2359D7881BD867EC4DE03BF4AAE80A8D162E41","","","","","System.Object[]","","False","False","","System.Object[]","","Constraint definition property 'Columns' is required."
"d18d94dc-b8ee-4b59-b786-a7c871c70b74","Constraint","SJob","FK_SubContractorInvoices_SubContractorId","SubContractorInvoices","MissingInTarget","787F2E348C45E5E3F1868564C4676845BCA1C9D7AEB8C2B1E577C42530562F61","","","","","System.Object[]","","False","False","","System.Object[]","","Constraint definition property 'Columns' is required."
"f376522f-e015-4e3e-9754-dec2e2a768e5","Constraint","SMigration","PK_Onboarding_EntityScope","Onboarding_EntityScope","MissingInTarget","723B0D7FD2EB5372463E02C380A8C0D9C8A223D9779F6960D8A4B90E407B63C1","","","","","System.Object[]","","False","False","","System.Object[]","","Constraint definition property 'Columns' is required."
"103a54bc-bfbe-4cdb-8a43-543cf00aa023","Constraint","SMigration","PK_Onboarding_RunEntitySelections","Onboarding_RunEntitySelections","MissingInTarget","723B0D7FD2EB5372463E02C380A8C0D9C8A223D9779F6960D8A4B90E407B63C1","","","","","System.Object[]","","False","False","","System.Object[]","","Constraint definition property 'Columns' is required."
"4c87f419-c5ad-4b25-bc23-b9ad28eec013","Constraint","SMigration","PK_SMigration_Onboarding_RunStageSelections","Onboarding_RunStageSelections","MissingInTarget","DDDDC68E0CC9A5CE84D3CAD7618B22DEEDE47D59C278BB487A07D3D7373353EB","","","","","System.Object[]","","False","False","","System.Object[]","","Constraint definition property 'Columns' is required."
"26880055-d9f1-4f25-b52f-b15707d36c04","Constraint","SMigration","UQ_Onboarding_EntityScope_Code","Onboarding_EntityScope","MissingInTarget","A5804CFB6E07F4993B906C0D939488E8D3D409FADB2766A2F6D58F335FC5429A","","","","","System.Object[]","","False","False","","System.Object[]","","Constraint definition property 'Columns' is required."
"2278a9fb-2d84-4547-8e21-bdec5f299e0e","Constraint","SMigration","UQ_Onboarding_EntityScope_Guid","Onboarding_EntityScope","MissingInTarget","563C62E07C86407F76D16942B582776443CBE1A366545E3C5C76D054FDF322A2","","","","","System.Object[]","","False","False","","System.Object[]","","Constraint definition property 'Columns' is required."
"a2804295-3c7a-42e5-bd1a-2e6c12743b99","Constraint","SMigration","UQ_Onboarding_RunEntitySelections_Guid","Onboarding_RunEntitySelections","MissingInTarget","563C62E07C86407F76D16942B582776443CBE1A366545E3C5C76D054FDF322A2","","","","","System.Object[]","","False","False","","System.Object[]","","Constraint definition property 'Columns' is required."
"19053284-89af-4afa-bc21-6e480446f541","Constraint","SSop","FK_CriticalProjectNotes_CreatedBy","CriticalProjectNotes","MissingInTarget","A25C5C15DAFC252876A899B7E7C87AC188201C8E971F10F7A53FD34A53F9C51B","","","","","System.Object[]","","False","False","","System.Object[]","","Constraint definition property 'Columns' is required."
"050ef49f-22db-4e99-b25e-c9645627793a","Constraint","SSop","FK_CriticalProjectNotes_Guid","CriticalProjectNotes","MissingInTarget","F2F6740CF6896D954EFECBACF24AFB9E9143BAB8194BCE030323FCAB8D7806BC","","","","","System.Object[]","","False","False","","System.Object[]","","Constraint definition property 'Columns' is required."
"83a61ae8-bb2a-49ac-b851-81e41af86f4c","Constraint","SSop","FK_CriticalProjectNotes_Projects","CriticalProjectNotes","MissingInTarget","6965864FF3ACE0457E84170896B1D469ABAB2FE1752C646E88577565A30C52ED","","","","","System.Object[]","","False","False","","System.Object[]","","Constraint definition property 'Columns' is required."
